id,cltv
89393,91426.03426743824
89394,131199.41451808967
89395,92091.56249487212
89396,85716.50465329886
89397,130855.30185265462
89398,109114.17719616773
89399,50159.53188551178
89400,108328.89202562565
89401,49071.78209909514
89402,152101.94375742343
89403,150912.3865777215
89404,88046.98042599623
89405,50419.15805606289
89406,51513.46569278931
89407,54588.6021828331
89408,132756.26651077438
89409,123167.33052287334
89410,128941.11691106169
89411,126512.78455292348
89412,136563.35319214157
89413,143475.8297912413
89414,49792.816489089135
89415,48508.377923745145
89416,110407.64396745179
89417,140493.25741673086
89418,99630.59967674322
89419,49619.147588193315
89420,131948.490105375
89421,137573.97649078857
89422,117957.85300983634
89423,146465.2077163533
89424,48421.84781595532
89425,108445.77557549912
89426,129765.02543376273
89427,102640.00939444624
89428,116788.00421821745
89429,92326.9533166674
89430,53151.96305294284
89431,129134.823953721
89432,121076.41387533577
89433,51128.04754115411
89434,54317.063440033155
89435,45516.229066781816
89436,105950.96432303265
89437,54304.00310821846
89438,138408.88643022755
89439,50474.44969624728
89440,133827.22539689403
89441,136252.38354342146
89442,69336.94924073378
89443,115200.8509048703
89444,76746.3702206556
89445,112452.04119687689
89446,95156.75943432417
89447,124993.00290579491
89448,137205.02566058387
89449,137292.2388244322
89450,130019.83603323762
89451,119115.15762567773
89452,128733.48937547933
89453,123119.27776005048
89454,135244.5593949705
89455,113774.09569007638
89456,129929.99158425812
89457,107264.25466199196
89458,136415.67086518637
89459,122089.89362312888
89460,128764.4328700602
89461,111273.68962244221
89462,96864.70555134461
89463,109714.07786946135
89464,167711.33005326136
89465,136894.02776317345
89466,51582.62046863169
89467,126643.53521692593
89468,49986.419927460825
89469,99887.53152095579
89470,47729.604035580254
89471,147687.64097982168
89472,124085.47169068776
89473,130423.19998516659
89474,127872.16394665197
89475,110927.86236578098
89476,148008.25669063418
89477,55467.98358661817
89478,135752.54186885135
89479,131625.6893246681
89480,102146.94513976807
89481,50623.78201294423
89482,49776.55587656622
89483,106767.39062297172
89484,51181.687482943606
89485,126594.34722283338
89486,131501.03982381473
89487,120840.9804402708
89488,86525.95141657686
89489,53551.002408586086
89490,88706.11286686962
89491,112650.05605650585
89492,101109.27675401351
89493,49186.59421729046
89494,46903.83451451829
89495,109195.46989544999
89496,102126.13874841723
89497,138604.42144616024
89498,104544.05363742265
89499,51181.43385571788
89500,117159.72689852436
89501,64638.2513766091
89502,46588.941689168125
89503,154777.01420951477
89504,155061.20674142285
89505,86274.01812312703
89506,50819.13396220309
89507,113653.79941780606
89508,96155.97869924732
89509,143252.3009447434
89510,51394.307642261956
89511,127141.58115220776
89512,142667.35486996427
89513,106609.707966925
89514,134632.86395074043
89515,109402.58965923241
89516,49799.97706311254
89517,94040.33623607618
89518,51970.1887301813
89519,132960.53568893782
89520,54281.626061169576
89521,112076.57091956894
89522,51041.68961814989
89523,55520.828783247496
89524,52616.75954237064
89525,97083.6638489878
89526,52172.19594184443
89527,51695.713731393116
89528,95618.17118107236
89529,111911.34068990257
89530,134613.138561797
89531,140292.08011459716
89532,50399.80776721034
89533,61699.267324435554
89534,98743.41601241296
89535,111774.461839258
89536,114280.01879760574
89537,123119.27776005048
89538,138408.88643022755
89539,112107.36600749366
89540,54856.30057254327
89541,116662.88839618838
89542,90782.05284833012
89543,53906.94163647972
89544,109651.33860921938
89545,52375.3495144046
89546,160603.26406123396
89547,99599.04863286635
89548,124414.8455083236
89549,99480.89891220053
89550,53164.10511281267
89551,109324.19245564633
89552,88965.24964876918
89553,121249.41751731501
89554,58675.74663274801
89555,52895.46845365924
89556,98446.98248076421
89557,113848.61029450674
89558,146851.09026928083
89559,114018.76860145919
89560,50027.22575858655
89561,126585.82132350025
89562,134432.64350800152
89563,96830.21824503441
89564,138408.88643022755
89565,93361.50582677683
89566,123828.59310672886
89567,96727.40813311421
89568,135749.69835859747
89569,92141.98732601549
89570,131203.377406273
89571,114193.89001461242
89572,54713.743039275025
89573,50554.41940217081
89574,48116.131124106105
89575,156316.37968879472
89576,124958.67804818653
89577,44441.72771909334
89578,87132.33225240362
89579,136765.28120611078
89580,129182.9375761754
89581,123613.16932304311
89582,48403.08110879382
89583,107764.57818478331
89584,99552.81914919947
89585,47488.027802817574
89586,49802.83422601003
89587,47960.70552534188
89588,46570.82826551337
89589,51622.86386732597
89590,127218.05853322902
89591,156655.65924587898
89592,108685.1234813251
89593,137103.0075855307
89594,98041.60453884659
89595,119370.87134832519
89596,96452.6799620614
89597,49673.14749352385
89598,109061.2419937021
89599,113915.75982822274
89600,107242.12248470253
89601,126824.68154767691
89602,142453.47496640147
89603,111267.5968313379
89604,144123.79062484566
89605,111903.87590384341
89606,130983.54374281423
89607,110459.0639714151
89608,131173.32117652323
89609,110653.09031816621
89610,97935.24759392987
89611,102465.61262617896
89612,156960.94167144177
89613,114018.76860145919
89614,50606.81243465608
89615,100821.18991097313
89616,140574.63256850396
89617,46742.623506301396
89618,88755.11302297309
89619,50230.48265979814
89620,91254.39197805911
89621,150131.43136059085
89622,111119.88143361626
89623,122457.4218400858
89624,142219.97359872918
89625,54682.98737424902
89626,110801.82047426427
89627,50573.585686848804
89628,52662.64193995304
89629,143736.06886188296
89630,111906.4126126165
89631,123771.19134445666
