date,hour,demand
2021-03-01,0,58.96599816394785
2021-03-01,1,53.22727562974836
2021-03-01,2,48.67674532885756
2021-03-01,3,49.2346626180956
2021-03-01,5,42.25020405057805
2021-03-01,6,43.25020405057805
2021-03-01,7,55.650438411685265
2021-03-01,8,72.53317260008957
2021-03-01,9,75.21436217953375
2021-03-01,10,77.94911107802658
2021-03-01,11,74.28704690392364
2021-03-01,12,71.24720366254995
2021-03-01,13,80.62658090050567
2021-03-01,14,88.22658090050568
2021-03-01,15,88.64587462202262
2021-03-01,16,82.40981199995228
2021-03-01,17,74.61923379357208
2021-03-01,18,78.22432259972443
2021-03-01,19,81.54800297114659
2021-03-01,20,75.42282851701293
2021-03-01,21,71.27600598926512
2021-03-01,22,62.52149898018579
2021-03-01,23,62.10539459989608
2021-03-02,0,53.616482376187435
2021-03-02,1,50.63931227118717
2021-03-02,2,50.6221153036297
2021-03-02,4,49.35386182708428
2021-03-02,6,52.92890735868352
2021-03-02,7,65.52914171979073
2021-03-02,8,70.41029242147368
2021-03-02,9,72.880205180029
2021-03-02,10,73.64695967997365
2021-03-02,11,74.44327401574004
2021-03-02,12,72.20343077436635
2021-03-02,13,82.31235513146271
2021-03-02,14,79.7123551314627
2021-03-02,15,81.86498218631297
2021-03-02,16,83.70863656456818
2021-03-02,17,78.11805835818797
2021-03-02,18,72.45648049767364
2021-03-02,19,83.04682753576247
2021-03-02,20,74.56195968156372
2021-03-02,21,68.68180382048256
2021-03-02,22,54.08659806058944
2021-03-02,23,52.19424652860702
2021-03-03,0,53.22576582345306
2021-03-03,2,54.43140002246108
2021-03-03,3,55.855985249931535
2021-03-03,4,55.229813212582336
2021-03-03,5,55.60485874418157
2021-03-03,6,55.00485874418157
2021-03-03,7,62.871759771955446
2021-03-03,8,72.45487539715022
2021-03-03,9,71.65960259119298
2021-03-03,10,64.81370569234343
2021-03-03,11,68.47668669477652
2021-03-03,12,69.10351012006949
2021-03-03,13,73.14576781049917
2021-03-03,14,68.54576781049916
2021-03-03,15,68.63172819868275
2021-03-03,16,84.27538257693797
2021-03-03,17,76.95147103722442
2021-03-03,18,80.6898931767101
2021-03-03,19,78.32441847814529
2021-03-03,20,74.43955062394653
2021-03-03,21,64.71385439828204
2021-03-03,22,60.45198832955102
2021-03-03,23,52.55963552600284
2021-03-04,0,56.68391147368092
2021-03-04,1,48.57340930691308
2021-03-04,2,49.222879006022275
2021-03-04,4,56.84495501759536
2021-03-04,6,59.82000054919459
2021-03-04,7,63.11027371848865
2021-03-04,8,74.49912730319792
2021-03-04,9,75.28821641219444
2021-03-04,10,67.91888147359344
2021-03-04,11,75.39977527713329
2021-03-04,12,73.97418425337027
2021-03-04,13,73.41644194379994
2021-03-04,14,76.01644194379995
2021-03-04,15,81.23573566531688
2021-03-04,16,78.64990701134552
2021-03-04,17,76.65932880496531
2021-03-04,18,85.78047240034293
2021-03-04,19,76.6149977017781
2021-03-04,20,68.73012984757933
2021-03-04,21,70.00443616504636
2021-03-04,22,69.34256119535506
2021-03-04,23,70.0359561741962
2021-03-05,0,61.116249058649906
